class,support,h0_f1,blend_f1,delta_f1
ACC,72,0.8955223880597015,0.8955223880597015,0.0
BLCA,104,0.5053763440860215,0.5053763440860215,0.0
BRCA,786,0.5526813880126183,0.5526813880126183,0.0
CESC,155,0.3925925925925926,0.3925925925925926,0.0
COAD,223,0.7643020594965675,0.7643020594965675,0.0
DLBC,38,0.5666666666666667,0.5666666666666667,0.0
GBMLGG,461,0.5871345029239766,0.5871345029239766,0.0
HNSC,223,0.391304347826087,0.391304347826087,0.0
KIPAN,515,0.6141078838174274,0.6141078838174274,0.0
KIRC,334,0.6847090663058186,0.6847090663058186,0.0
LAML,158,0.5752508361204013,0.5752508361204013,0.0
LGG,229,0.6572008113590264,0.6572008113590264,0.0
LIHC,158,0.4585987261146497,0.4585987261146497,0.0
LUAD,184,0.3825503355704698,0.3825503355704698,0.0
LUSC,178,0.5784313725490197,0.5784313725490197,0.0
OV,253,0.4475043029259897,0.4475043029259897,0.0
PAAD,120,0.4247787610619469,0.4247787610619469,0.0
PCPG,147,0.3641304347826087,0.3641304347826087,0.0
PRAD,266,0.39869281045751637,0.39869281045751637,0.0
SARC,198,0.2210796915167095,0.2210796915167095,0.0
SKCM,276,0.8932038834951457,0.8932038834951457,0.0
STES,379,0.5635910224438903,0.5635910224438903,0.0
TGCT,124,0.6904761904761905,0.6904761904761905,0.0
THCA,324,0.6867256637168142,0.6867256637168142,0.0
THYM,98,0.2878787878787879,0.2878787878787879,0.0
UCEC,198,0.6612903225806451,0.6612903225806451,0.0
