class,support,H0_precision,H0_recall,H0_f1,OVR_precision,OVR_recall,OVR_f1,f1_delta
ACC,72,0.967741935483871,0.8333333333333334,0.8955223880597015,0.953125,0.8472222222222222,0.8970588235294118,0.0015364354697102733
BLCA,104,0.573170731707317,0.4519230769230769,0.5053763440860215,0.5135135135135135,0.36538461538461536,0.42696629213483145,-0.07841005195119005
BRCA,786,0.5481852315394243,0.5572519083969466,0.5526813880126183,0.5971631205673759,0.5356234096692112,0.5647216633132126,0.012040275300594261
CESC,155,0.4608695652173913,0.3419354838709677,0.3925925925925926,0.4188034188034188,0.3161290322580645,0.3602941176470588,-0.032298474945533784
COAD,223,0.780373831775701,0.7488789237668162,0.7643020594965675,0.7399103139013453,0.7399103139013453,0.7399103139013453,-0.02439174559522217
DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667,0.7272727272727273,0.42105263157894735,0.5333333333333333,-0.033333333333333326
GBMLGG,461,0.6370558375634517,0.544468546637744,0.5871345029239766,0.645083932853717,0.5835140997830802,0.6127562642369021,0.025621761312925484
HNSC,223,0.42408376963350786,0.3632286995515695,0.391304347826087,0.42021276595744683,0.3542600896860987,0.3844282238442822,-0.00687612398180476
KIPAN,515,0.6592427616926503,0.574757281553398,0.6141078838174274,0.673289183222958,0.5922330097087378,0.6301652892561983,0.016057405438770878
KIRC,334,0.6246913580246913,0.7574850299401198,0.6847090663058186,0.6442048517520216,0.7155688622754491,0.6780141843971631,-0.006694881908655526
LAML,158,0.6099290780141844,0.5443037974683544,0.5752508361204013,0.5157232704402516,0.5189873417721519,0.5173501577287066,-0.05790067839169466
LGG,229,0.6136363636363636,0.7074235807860262,0.6572008113590264,0.6408163265306123,0.6855895196506551,0.6624472573839663,0.005246446024939844
LIHC,158,0.46153846153846156,0.45569620253164556,0.4585987261146497,0.4124293785310734,0.4620253164556962,0.43582089552238806,-0.022777830592261628
LUAD,184,0.5,0.30978260869565216,0.3825503355704698,0.4217687074829932,0.33695652173913043,0.37462235649546827,-0.007927979075001534
LUSC,178,0.5130434782608696,0.6629213483146067,0.5784313725490197,0.5025906735751295,0.5449438202247191,0.522911051212938,-0.055520321336081646
OV,253,0.39634146341463417,0.5138339920948617,0.4475043029259897,0.3784530386740331,0.541501976284585,0.44552845528455287,-0.001975847641436823
PAAD,120,0.4528301886792453,0.4,0.4247787610619469,0.42735042735042733,0.4166666666666667,0.4219409282700422,-0.002837832791904693
PCPG,147,0.3031674208144796,0.4557823129251701,0.3641304347826087,0.28444444444444444,0.43537414965986393,0.34408602150537637,-0.02004441327723233
PRAD,266,0.35260115606936415,0.45864661654135336,0.39869281045751637,0.32054794520547947,0.4398496240601504,0.37083993660855785,-0.027852873848958515
SARC,198,0.225130890052356,0.21717171717171718,0.2210796915167095,0.21226415094339623,0.22727272727272727,0.21951219512195122,-0.0015674963947582832
SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457,0.9428571428571428,0.8369565217391305,0.8867562380038387,-0.006447645491306941
STES,379,0.5342789598108747,0.5963060686015831,0.5635910224438903,0.5523560209424084,0.5567282321899736,0.5545335085413929,-0.009057513902497316
TGCT,124,0.6796875,0.7016129032258065,0.6904761904761905,0.6231884057971014,0.6935483870967742,0.6564885496183206,-0.03398764085786987
THCA,324,0.8049792531120332,0.5987654320987654,0.6867256637168142,0.7195571955719557,0.6018518518518519,0.6554621848739496,-0.03126347884286462
THYM,98,0.2289156626506024,0.3877551020408163,0.2878787878787879,0.25,0.41836734693877553,0.31297709923664124,0.025098311357853342
UCEC,198,0.7068965517241379,0.6212121212121212,0.6612903225806451,0.6606060606060606,0.5505050505050505,0.6005509641873278,-0.060739358393317344
