fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178,0.0
1,OVR_EB_LR,0.509100435545016,0.5334407735697019,8178,-0.019416035342159965
2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221,0.0
2,OVR_EB_LR,0.5452518028812643,0.5588709677419355,8221,-0.00663939156732507
3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187,0.0
3,OVR_EB_LR,0.506885015451937,0.521774193548387,8187,-0.036564047473689576
4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267,0.0
4,OVR_EB_LR,0.5539796278983112,0.575,8267,-0.0007791681591011734
5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243,0.0
5,OVR_EB_LR,0.5386481313881218,0.5516129032258065,8243,-0.019851209511433043
