row_index,truth,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,ovr__ACC,ovr__BLCA,ovr__BRCA,ovr__CESC,ovr__COAD,ovr__DLBC,ovr__GBMLGG,ovr__HNSC,ovr__KIPAN,ovr__KIRC,ovr__LAML,ovr__LGG,ovr__LIHC,ovr__LUAD,ovr__LUSC,ovr__OV,ovr__PAAD,ovr__PCPG,ovr__PRAD,ovr__SARC,ovr__SKCM,ovr__STES,ovr__TGCT,ovr__THCA,ovr__THYM,ovr__UCEC
0,KIPAN,0.011843083,0.014603391,0.052512202,0.024742328,0.027346717,0.010239695,0.03988307,0.021566298,0.16825652,0.100722335,2.3712116e-06,0.0057732584,0.118270904,0.029244766,0.07108973,0.061556336,0.060217734,9.250539e-06,0.015505828,0.02208222,0.009364315,0.059342794,0.05990376,0.0002315241,0.0015747179,0.014114822,0.003307855,0.007572393,0.03202885,0.017112043,0.018967194,0.00886098,0.055701565,0.01603303,0.11202196,0.07042212,5.6068836e-07,0.0072267,0.13771157,0.035918325,0.09682175,0.08032893,0.0866574,9.2332704e-07,0.040310916,0.02344644,0.010560016,0.08290681,0.048483532,0.000112472975,0.0012574112,0.006228141
1,SARC,0.024539327,0.008702004,0.030890487,0.002711933,0.0061025037,0.006734247,0.41833827,0.039590366,0.018513627,0.010248431,0.00017529508,0.05304074,0.018822808,0.012004583,0.0017070953,0.008287616,0.053227633,0.0012442578,0.0010814337,0.15667437,0.0037737445,0.069230616,0.007295681,0.00036977607,0.0046390467,0.04205409,0.03675128,0.006835178,0.040571317,0.0017957032,0.004801446,0.007482104,0.28352743,0.065903574,0.0610504,0.01459195,9.218668e-05,0.037765104,0.020578742,0.016348504,0.0015221933,0.0042901877,0.112833045,0.0005552657,0.0002690736,0.061606687,0.0039310637,0.16336554,0.0051586144,0.00023474386,0.0031567444,0.044981826
2,SKCM,2.3893712e-05,0.00080012117,7.0675756e-06,9.915858e-05,0.00050436385,7.3783153e-06,2.0276862e-05,0.0011394767,1.7874396e-06,6.425489e-08,2.28201e-11,6.648779e-07,4.3779462e-05,0.0007374052,0.0034232463,9.494174e-08,1.0924119e-07,2.416355e-12,5.1357834e-09,3.9562055e-06,0.9909859,0.002121349,1.4137445e-08,8.6039106e-11,2.4489317e-11,7.982233e-05,0.00077402976,0.014782669,9.321543e-05,0.00057534233,0.018664934,0.0002902034,0.00012444564,0.0018526225,1.126903e-05,6.700017e-08,1.5316169e-27,7.657549e-06,0.00025126679,0.001611602,0.020849304,4.5773625e-08,1.5331427e-08,1.375761e-38,2.6293394e-09,2.1620068e-05,0.8392439,0.09971179,4.278532e-09,8.064794e-16,1.7133689e-18,0.0011340389
3,KIRC,0.0012531681,0.0016157716,0.041646607,0.018632721,0.006107245,0.0056562647,0.07124438,0.008707186,0.10108391,0.30644882,0.027941456,0.03988466,0.020333737,0.011823599,0.004086149,0.03562485,0.015576658,0.01657757,0.14267991,0.05412265,0.009886225,0.007298027,0.011638098,0.018481327,0.014067331,0.007581678,0.0005082226,0.0008548143,0.0568964,0.008183266,0.0035733832,0.003179053,0.10541993,0.009323666,0.114065856,0.18108523,0.041648485,0.025702966,0.018854354,0.011637769,0.0150028905,0.08769689,0.012349751,0.010563002,0.16563159,0.06388311,0.012622036,0.008579222,0.012033271,0.017356906,0.008561164,0.004786761
4,GBMLGG,0.0014835832,0.008263241,0.047100727,0.0013375377,0.039994333,0.008479192,0.06622595,0.030171758,0.0066043753,0.0020439674,2.4952894e-06,0.006438375,0.04825219,0.01680536,0.107015155,0.13397199,0.15483171,2.969842e-07,0.0008486368,0.031154389,0.009329266,0.19419768,0.0097893,2.2817565e-06,0.0017049084,0.07395124,7.370587e-05,0.0063024657,0.040312596,0.00021148015,0.019718878,0.0018147372,0.15720531,0.020222606,0.015408552,0.0052009923,2.113667e-08,0.014152297,0.01733874,0.011095738,0.11159969,0.20971437,0.17689618,2.5385578e-09,0.00070511136,0.045123514,0.009153595,0.061230414,0.015955655,9.1631614e-07,0.0012412845,0.05932116
5,STES,3.0099472e-05,0.0014162862,0.0008702669,0.00015146653,0.0050706356,7.789068e-05,0.0006413496,0.00043103873,0.001719109,3.5904256e-06,5.729067e-08,1.0549168e-06,0.00017669413,0.00023704839,9.0700756e-05,8.940046e-08,1.159788e-06,4.1533113e-07,3.0012593e-06,8.9874375e-06,0.00054652593,0.8310004,8.674243e-07,1.2447555e-07,0.00059569546,0.15692547,5.5150927e-06,0.00026366723,1.2990131e-05,6.085871e-06,0.0013357766,8.874735e-07,4.3541014e-14,3.5750415e-06,0.00022810667,2.8788323e-16,0.0,1.7912552e-12,2.1733247e-05,1.4084856e-06,3.928054e-06,4.9078742e-21,1.1218664e-17,0.0,1.0183733e-26,4.2345325e-14,0.00018218813,0.9222754,7.856723e-19,0.0,6.698901e-07,0.07565805
6,BRCA,0.000106083964,0.0005949753,0.7928754,0.012204873,0.0021950088,0.0007913474,0.0071420865,0.0017045129,0.0035660814,0.0056095407,0.05876436,0.004783685,0.0028817866,0.0013403631,0.00014976134,0.005741312,0.0004368082,0.023003837,0.020758925,0.0078703435,0.0009510869,0.0015873206,0.00037875204,0.011015618,0.0045640264,0.028982136,0.00012540602,0.001453119,0.40261325,0.027535396,0.008360879,0.0020638367,0.02617598,0.006219798,0.017222809,0.043481264,0.16951074,0.010768692,0.008930133,0.0046955594,0.0013784277,0.029073397,0.0007209152,0.04222704,0.06414423,0.017024776,0.0034621342,0.015670083,0.00073824567,0.022223387,0.009173687,0.06500681
7,THCA,0.0007389726,0.0001313272,0.09175541,0.0062185437,0.00016056221,0.0005183253,0.008297643,0.0007647745,0.005039986,0.0017290014,0.116550885,0.005742182,0.00079435646,0.00055556284,5.114873e-05,0.0033893154,0.0051986314,0.24651775,0.10377747,0.054742023,0.00091182184,0.00012302198,0.0019642597,0.10482946,0.23858367,0.00091392256,0.0014261402,0.0009250105,0.046782758,0.02439932,0.0006532688,0.0011919596,0.044696003,0.009371617,0.024790986,0.0056329146,0.121849425,0.016970176,0.004188373,0.0028906576,0.00508992,0.014843429,0.026706284,0.1427119,0.12299279,0.10201571,0.005996318,0.0024456137,0.0045237406,0.13049346,0.1334872,0.0029250188
8,LIHC,0.004675691,0.0040951422,0.0698371,0.022594018,0.00882379,0.015232327,0.02606465,0.009289551,0.066407524,0.10701551,0.003561453,0.0047676335,0.045243602,0.01587791,0.006865116,0.09126834,0.0344248,0.036885925,0.1406755,0.15737547,0.00847873,0.017902954,0.03105449,0.034516882,0.02074004,0.016325885,0.0015377153,0.0017206696,0.08855407,0.027808513,0.005711357,0.0055148154,0.041319944,0.0062543484,0.074891195,0.097217344,0.0037422457,0.003876234,0.052847028,0.011834961,0.0059184604,0.11212256,0.027222307,0.038175225,0.11158807,0.12345277,0.007999241,0.033825736,0.026583137,0.046227828,0.020741627,0.023312494
9,STES,0.00044987063,0.0007648031,0.015351251,0.030267023,0.22410007,0.0019285476,0.047116555,0.055831026,0.0029556481,0.002784831,8.5753045e-06,0.006162368,0.043384153,0.045815144,0.0343962,0.0110254,0.07109822,1.691558e-05,0.0031696868,0.02626159,0.036618773,0.30583984,0.0023266836,0.00093317265,0.0009964705,0.030397203,0.00018104042,0.00021254942,0.018929442,0.0536145,0.1551667,0.0009834192,0.10331546,0.08185563,0.014547546,0.007703289,1.1410306e-05,0.010182367,0.06901205,0.04040056,0.033256233,0.013237433,0.08771489,4.1220555e-06,0.0040446883,0.07456662,0.024201212,0.17587315,0.0026054252,0.0021768764,0.0019182587,0.024285011
