class,support,H0_precision,H0_recall,H0_f1,H1_precision,H1_recall,H1_f1,f1_delta
ACC,72,0.967741935483871,0.8333333333333334,0.8955223880597015,0.9523809523809523,0.8333333333333334,0.8888888888888888,-0.0066334991708126845
BLCA,104,0.573170731707317,0.4519230769230769,0.5053763440860215,0.5168539325842697,0.4423076923076923,0.47668393782383417,-0.02869240626218733
BRCA,786,0.5481852315394243,0.5572519083969466,0.5526813880126183,0.7253521126760564,0.3931297709923664,0.5099009900990099,-0.04278039791360844
CESC,155,0.4608695652173913,0.3419354838709677,0.3925925925925926,0.32105263157894737,0.3935483870967742,0.3536231884057971,-0.03896940418679551
COAD,223,0.780373831775701,0.7488789237668162,0.7643020594965675,0.7714285714285715,0.726457399103139,0.7482678983833718,-0.016034161113195666
DLBC,38,0.7727272727272727,0.4473684210526316,0.5666666666666667,0.7307692307692307,0.5,0.59375,0.027083333333333348
GBMLGG,461,0.6370558375634517,0.544468546637744,0.5871345029239766,0.6005586592178771,0.46637744034707157,0.525030525030525,-0.06210397789345157
HNSC,223,0.42408376963350786,0.3632286995515695,0.391304347826087,0.33476394849785407,0.34977578475336324,0.34210526315789475,-0.04919908466819223
KIPAN,515,0.6592427616926503,0.574757281553398,0.6141078838174274,0.6418269230769231,0.5184466019417475,0.5735767991407089,-0.04053108467671851
KIRC,334,0.6246913580246913,0.7574850299401198,0.6847090663058186,0.6153846153846154,0.6467065868263473,0.6306569343065693,-0.0540521319992493
LAML,158,0.6099290780141844,0.5443037974683544,0.5752508361204013,0.5374149659863946,0.5,0.5180327868852459,-0.05721804923515539
LGG,229,0.6136363636363636,0.7074235807860262,0.6572008113590264,0.5645756457564576,0.6681222707423581,0.612,-0.04520081135902643
LIHC,158,0.46153846153846156,0.45569620253164556,0.4585987261146497,0.32558139534883723,0.35443037974683544,0.3393939393939394,-0.11920478672071028
LUAD,184,0.5,0.30978260869565216,0.3825503355704698,0.38219895287958117,0.3967391304347826,0.3893333333333333,0.006782997762863507
LUSC,178,0.5130434782608696,0.6629213483146067,0.5784313725490197,0.5024154589371981,0.5842696629213483,0.5402597402597402,-0.038171632289279445
OV,253,0.39634146341463417,0.5138339920948617,0.4475043029259897,0.3502824858757062,0.4901185770750988,0.4085667215815486,-0.038937581344441086
PAAD,120,0.4528301886792453,0.4,0.4247787610619469,0.30158730158730157,0.31666666666666665,0.3089430894308943,-0.11583567163105257
PCPG,147,0.3031674208144796,0.4557823129251701,0.3641304347826087,0.27232142857142855,0.41496598639455784,0.3288409703504043,-0.035289464432204376
PRAD,266,0.35260115606936415,0.45864661654135336,0.39869281045751637,0.31592689295039167,0.4548872180451128,0.3728813559322034,-0.02581145452531297
SARC,198,0.225130890052356,0.21717171717171718,0.2210796915167095,0.19798657718120805,0.29797979797979796,0.23790322580645162,0.01682353428974212
SKCM,276,0.9623430962343096,0.8333333333333334,0.8932038834951457,0.9469387755102041,0.8405797101449275,0.8905950095969289,-0.0026088738982167348
STES,379,0.5342789598108747,0.5963060686015831,0.5635910224438903,0.4877450980392157,0.525065963060686,0.5057179161372299,-0.057873106306660316
TGCT,124,0.6796875,0.7016129032258065,0.6904761904761905,0.6338028169014085,0.7258064516129032,0.6766917293233082,-0.013784461152882233
THCA,324,0.8049792531120332,0.5987654320987654,0.6867256637168142,0.7222222222222222,0.6018518518518519,0.6565656565656566,-0.03016000715115763
THYM,98,0.2289156626506024,0.3877551020408163,0.2878787878787879,0.23170731707317074,0.3877551020408163,0.2900763358778626,0.0021975479990746782
UCEC,198,0.7068965517241379,0.6212121212121212,0.6612903225806451,0.5527426160337553,0.6616161616161617,0.6022988505747127,-0.058991472005932466
