fold,variant,macro_f1,accuracy,feature_count,delta_vs_h0
1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178,0.0
1,H1_auto_confusion_moe,0.4842660656963083,0.492344883158743,8178,-0.0442504051908677
2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221,0.0
2,H1_auto_confusion_moe,0.5050628419675373,0.5088709677419355,8221,-0.046828352481052105
3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187,0.0
3,H1_auto_confusion_moe,0.534054098013104,0.5241935483870968,8187,-0.009394964912522563
4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267,0.0
4,H1_auto_confusion_moe,0.5154995299468754,0.5225806451612903,8267,-0.03925926611053698
5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243,0.0
5,H1_auto_confusion_moe,0.52296734632494,0.5209677419354839,8243,-0.03553199457461487
