row_index,truth,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,h1__ACC,h1__BLCA,h1__BRCA,h1__CESC,h1__COAD,h1__DLBC,h1__GBMLGG,h1__HNSC,h1__KIPAN,h1__KIRC,h1__LAML,h1__LGG,h1__LIHC,h1__LUAD,h1__LUSC,h1__OV,h1__PAAD,h1__PCPG,h1__PRAD,h1__SARC,h1__SKCM,h1__STES,h1__TGCT,h1__THCA,h1__THYM,h1__UCEC
0,KIPAN,0.011843083,0.014603391,0.052512202,0.024742328,0.027346717,0.010239695,0.03988307,0.021566298,0.16825652,0.100722335,2.3712116e-06,0.0057732584,0.118270904,0.029244766,0.07108973,0.061556336,0.060217734,9.250539e-06,0.015505828,0.02208222,0.009364315,0.059342794,0.05990376,0.0002315241,0.0015747179,0.014114822,0.011843083,0.014603391,0.04651622,0.043353688,0.06679275,0.010239695,0.086168915,0.022717057,0.13276027,0.035369888,0.01385853,0.014962556,0.055980865,0.0526042,0.031654242,0.036502875,0.066616565,0.013998824,0.022161711,0.019693257,0.009364315,0.07564331,0.05990376,0.014754923,0.014205118,0.027729964
1,SARC,0.024539327,0.008702004,0.030890487,0.002711933,0.0061025037,0.006734247,0.41833827,0.039590366,0.018513627,0.010248431,0.00017529508,0.05304074,0.018822808,0.012004583,0.0017070953,0.008287616,0.053227633,0.0012442578,0.0010814337,0.15667437,0.0037737445,0.069230616,0.007295681,0.00036977607,0.0046390467,0.04205409,0.024539327,0.008702004,0.04094468,0.015196265,0.015883759,0.006734247,0.22922668,0.047838543,0.04253166,0.01585405,0.013648513,0.06962204,0.018087644,0.058963057,0.01365485,0.039681606,0.039717086,0.012966292,0.019325688,0.16240814,0.0037737445,0.049300887,0.007295681,0.013869375,0.013277364,0.016956815
2,SKCM,2.3893712e-05,0.00080012117,7.0675756e-06,9.915858e-05,0.00050436385,7.3783153e-06,2.0276862e-05,0.0011394767,1.7874396e-06,6.425489e-08,2.28201e-11,6.648779e-07,4.3779462e-05,0.0007374052,0.0034232463,9.494174e-08,1.0924119e-07,2.416355e-12,5.1357834e-09,3.9562055e-06,0.9909859,0.002121349,1.4137445e-08,8.6039106e-11,2.4489317e-11,7.982233e-05,2.3893712e-05,0.00080012117,0.0003792634,0.0004720188,0.00027725694,7.3783153e-06,0.00028807248,0.0011500301,0.00024331386,0.00018361279,0.0004205315,0.00035943792,0.0004227853,0.00043073914,0.0008488209,0.0002207676,0.00022462812,0.00016280675,0.00021018153,0.00021094778,0.9909859,0.0011036624,1.4137445e-08,0.00019327668,0.00016109853,0.0002193758
3,KIRC,0.0012531681,0.0016157716,0.041646607,0.018632721,0.006107245,0.0056562647,0.07124438,0.008707186,0.10108391,0.30644882,0.027941456,0.03988466,0.020333737,0.011823599,0.004086149,0.03562485,0.015576658,0.01657757,0.14267991,0.05412265,0.009886225,0.007298027,0.011638098,0.018481327,0.014067331,0.007581678,0.0012531681,0.01077109,0.030963758,0.025740644,0.006107245,0.0056562647,0.15565926,0.013900409,0.0799534,0.26481545,0.01702401,0.028527591,0.015222055,0.015401543,0.011466694,0.020166691,0.017623492,0.013989501,0.1283481,0.0480224,0.009886225,0.016103348,0.011638098,0.018811613,0.020708801,0.012239167
4,GBMLGG,0.0014835832,0.008263241,0.047100727,0.0013375377,0.039994333,0.008479192,0.06622595,0.030171758,0.0066043753,0.0020439674,2.4952894e-06,0.006438375,0.04825219,0.01680536,0.107015155,0.13397199,0.15483171,2.969842e-07,0.0008486368,0.031154389,0.009329266,0.19419768,0.0097893,2.2817565e-06,0.0017049084,0.07395124,0.0014835832,0.012458196,0.023230623,0.011135177,0.039994333,0.008479192,0.011586823,0.047286745,0.011547048,0.009741208,0.009066621,0.009609696,0.14276177,0.030222433,0.17799735,0.022958146,0.05008479,0.008906715,0.0110176345,0.014718286,0.009329266,0.16405429,0.0097893,0.00914188,0.008989003,0.14440984
5,STES,3.0099472e-05,0.0014162862,0.0008702669,0.00015146653,0.0050706356,7.789068e-05,0.0006413496,0.00043103873,0.001719109,3.5904256e-06,5.729067e-08,1.0549168e-06,0.00017669413,0.00023704839,9.0700756e-05,8.940046e-08,1.159788e-06,4.1533113e-07,3.0012593e-06,8.9874375e-06,0.00054652593,0.8310004,8.674243e-07,1.2447555e-07,0.00059569546,0.15692547,3.0099472e-05,0.0014162862,0.010429785,0.009177264,0.03403688,7.789068e-05,0.0066907885,0.017193528,0.0059582354,0.008147656,0.0047679143,0.008659265,0.011318766,0.02755394,0.009135235,0.011933721,0.005634796,0.0048161815,0.0065494,0.00654902,0.00054652593,0.07953718,8.674243e-07,0.005076311,0.027395073,0.6973674
6,BRCA,0.000106083964,0.0005949753,0.7928754,0.012204873,0.0021950088,0.0007913474,0.0071420865,0.0017045129,0.0035660814,0.0056095407,0.05876436,0.004783685,0.0028817866,0.0013403631,0.00014976134,0.005741312,0.0004368082,0.023003837,0.020758925,0.0078703435,0.0009510869,0.0015873206,0.00037875204,0.011015618,0.0045640264,0.028982136,0.000106083964,0.0005949753,0.8388582,0.007509141,0.0027962325,0.0007913474,0.004836056,0.003232078,0.00805171,0.010009968,0.057084177,0.0027796207,0.0029913094,0.0031152377,0.0026889641,0.005581423,0.003527996,0.00402239,0.00979562,0.0056802444,0.0009510869,0.00396188,0.00037875204,0.0041375225,0.00386898,0.012649075
7,THCA,0.0007389726,0.0001313272,0.09175541,0.0062185437,0.00016056221,0.0005183253,0.008297643,0.0007647745,0.005039986,0.0017290014,0.116550885,0.005742182,0.00079435646,0.00055556284,5.114873e-05,0.0033893154,0.0051986314,0.24651775,0.10377747,0.054742023,0.00091182184,0.00012302198,0.0019642597,0.10482946,0.23858367,0.00091392256,0.0007389726,0.0001313272,0.051618095,0.015171772,0.011013892,0.0005183253,0.021013778,0.013123301,0.021806037,0.020493107,0.07781401,0.010804669,0.011520679,0.012314821,0.010851708,0.018385373,0.013622899,0.14705424,0.07996895,0.062475905,0.00091182184,0.013703691,0.0019642597,0.16242914,0.20878106,0.011768202
8,LIHC,0.004675691,0.0040951422,0.0698371,0.022594018,0.00882379,0.015232327,0.02606465,0.009289551,0.066407524,0.10701551,0.003561453,0.0047676335,0.045243602,0.01587791,0.006865116,0.09126834,0.0344248,0.036885925,0.1406755,0.15737547,0.00847873,0.017902954,0.03105449,0.034516882,0.02074004,0.016325885,0.004675691,0.0040951422,0.04940967,0.045136232,0.016939817,0.015232327,0.02677695,0.020233728,0.051347043,0.02560833,0.017273365,0.019618617,0.023954784,0.019773176,0.017120913,0.09420938,0.03057086,0.027308032,0.17122093,0.18292318,0.00847873,0.03077023,0.03105449,0.017389448,0.016986134,0.03189283
9,STES,0.00044987063,0.0007648031,0.015351251,0.030267023,0.22410007,0.0019285476,0.047116555,0.055831026,0.0029556481,0.002784831,8.5753045e-06,0.006162368,0.043384153,0.045815144,0.0343962,0.0110254,0.07109822,1.691558e-05,0.0031696868,0.02626159,0.036618773,0.30583984,0.0023266836,0.00093317265,0.0009964705,0.030397203,0.00044987063,0.0007648031,0.03533908,0.03533557,0.044502333,0.0019285476,0.066691466,0.077763215,0.019581225,0.020651188,0.015890459,0.016773935,0.035906307,0.06772851,0.02422227,0.043396555,0.035603624,0.015570475,0.020522717,0.025330365,0.036618773,0.30202743,0.0023266836,0.016654935,0.016016379,0.022403311
10,STES,0.010642775,0.009267246,0.06002882,0.033970207,0.003970852,0.0028912798,0.009508282,0.009467098,0.0327049,0.03508281,0.028523158,0.01489044,0.077205345,0.010039477,0.0026914785,0.012843996,0.005265128,0.09411653,0.14806055,0.011875008,0.008536876,0.0067763804,0.036822,0.06917066,0.0579279,0.20772085,0.010642775,0.009267246,0.046473816,0.03359299,0.016466985,0.0028912798,0.030233692,0.019668953,0.044961415,0.06340076,0.051810265,0.017427659,0.093077265,0.031261984,0.016643025,0.026187453,0.01925227,0.02431164,0.07320894,0.024880085,0.008536876,0.024240801,0.036822,0.049910437,0.024033986,0.20079544
11,HNSC,0.0018699557,0.006188719,0.028624117,0.086911336,0.04934428,0.0061721955,0.0046851533,0.095400415,0.024232086,0.020326393,7.998371e-07,0.0007415963,0.05408651,0.111476816,0.16528626,0.017667878,0.014928693,4.01702e-07,0.004614473,0.035783328,0.02968575,0.21552674,0.0069837295,8.888226e-05,0.0005240239,0.018849516,0.0018699557,0.006188719,0.03554392,0.19385777,0.020683056,0.0061721955,0.016259052,0.045580823,0.029891608,0.014474793,0.012438665,0.0131333005,0.037166864,0.10846358,0.07936489,0.019845566,0.014960784,0.012188191,0.014327965,0.016940242,0.02968575,0.22420585,0.0069837295,0.013037079,0.012542738,0.014192962
12,KIRC,0.0032919804,0.022422757,0.16806093,0.053598963,0.0069741313,0.004082821,0.019611772,0.016886296,0.29306975,0.13477068,0.0016880574,0.004760541,0.04519675,0.07000182,0.0016246352,0.019998917,0.010184291,0.004905128,0.017956134,0.016202822,0.009628285,0.024489438,0.020939944,0.0009472209,0.022829907,0.0058760927,0.0032919804,0.022422757,0.07523078,0.037167337,0.01009727,0.004082821,0.024264408,0.015164621,0.37382123,0.057790343,0.009056368,0.010798965,0.033015586,0.01703093,0.009564594,0.030861458,0.014132972,0.009148049,0.06558874,0.095243074,0.009628285,0.022593599,0.020939944,0.00949202,0.009282858,0.010289053
13,PAAD,0.0013570099,0.002525245,0.09708186,0.0055155167,0.071937285,0.0018343373,0.046130247,0.057770055,0.009602587,0.0057265447,0.0010926987,0.0059609804,0.065622084,0.041079976,0.01247463,0.16100448,0.1981667,0.002188252,0.017309627,0.057601444,0.0055793864,0.09155834,0.008283434,0.0035495192,0.006268947,0.02277877,0.0013570099,0.002525245,0.03783136,0.011073505,0.0105540855,0.0018343373,0.015651252,0.02124744,0.014752247,0.011491625,0.009642699,0.010181193,0.12247375,0.034471646,0.009950277,0.11673205,0.38245758,0.0094485255,0.013914759,0.083800375,0.0055793864,0.02808845,0.008283434,0.010106601,0.009723377,0.016827732
14,SKCM,1.8075349e-07,8.924278e-05,1.1489574e-06,0.000109099296,0.0011275127,2.0450268e-06,3.3242826e-09,0.00029471517,3.2844607e-08,1.2811512e-11,1.1099503e-12,2.4375743e-10,7.3426156e-07,8.796376e-05,0.0020702558,1.6372969e-11,6.674813e-10,2.9362962e-12,3.0995498e-11,4.820854e-08,0.99593943,8.128001e-05,2.7353652e-11,1.1746208e-12,2.1251449e-10,0.00019625002,1.8075349e-07,8.924278e-05,9.124134e-05,0.00022144453,0.0014202554,2.0450268e-06,5.1812913e-05,0.00028131495,5.998241e-05,4.7117304e-05,4.006474e-05,4.9014187e-05,0.000107972824,0.00022458668,0.00051810185,6.6576285e-05,7.166111e-05,4.0152016e-05,5.0519327e-05,0.00016606985,0.99593943,0.0002892836,2.7353652e-11,4.12504e-05,5.1926287e-05,7.869753e-05
15,OV,0.005820883,0.0029226234,0.0982695,0.014896929,0.005778575,0.017543014,0.109295815,0.021376442,0.16717985,0.13910742,0.013904611,0.046022862,0.012765142,0.030696398,0.0014178307,0.025536656,0.0140379025,0.037646096,0.109212436,0.040527247,0.006976996,0.0107028205,0.013526531,0.015493641,0.028037494,0.0113042835,0.005820883,0.0029226234,0.037637275,0.021151597,0.007894212,0.017543014,0.4166539,0.018400209,0.05878898,0.032712907,0.008664119,0.021697292,0.0092486795,0.017236238,0.007978605,0.02205452,0.021456607,0.018826734,0.15115328,0.037906665,0.006976996,0.012034394,0.013526531,0.015049284,0.008255909,0.008408551
