class,delta_f1
ACC,0.0
BLCA,0.008284858099770864
BRCA,-0.010166417952738094
CESC,-0.0062289562289562506
COAD,0.0017529863749921049
DLBC,0.0
GBMLGG,-0.0017686492654400698
HNSC,-0.00010630381630699626
KIPAN,0.0015903832569864607
KIRC,0.006547764295274261
LAML,-0.005759310696672459
LGG,-5.7954216169275874e-05
LIHC,0.013162071227542982
LUAD,0.003890342395631907
LUSC,-0.0006535947712419388
OV,-0.004223325613598783
PAAD,0.009610379209546327
PCPG,-0.021273291925465843
PRAD,-0.00399960979416647
SARC,-0.022154960333913815
SKCM,0.0
STES,0.0018410763215418458
TGCT,0.003072196620583778
THCA,-0.0012132962256481417
THYM,0.0033089515848136464
UCEC,0.0035598136591369345
