fold,variant,macro_f1,accuracy,feature_count
1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178
1,prototype_similarity,0.01205095768663131,0.128928283642224,197862
1,H0_plus_prototype,0.5248236348535122,0.5423045930701047,8178
2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221
2,prototype_similarity,0.014170455980800809,0.13064516129032258,194286
2,H0_plus_prototype,0.5490696768698078,0.5637096774193548,8221
3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187
3,prototype_similarity,0.012014203842912604,0.12903225806451613,194629
3,H0_plus_prototype,0.5447797708306722,0.5491935483870968,8187
4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267
4,prototype_similarity,0.013243571349740647,0.13064516129032258,205018
4,H0_plus_prototype,0.5551331929957566,0.5709677419354838,8267
5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243
5,prototype_similarity,0.013129031044696328,0.12983870967741937,198408
5,H0_plus_prototype,0.5577070614858505,0.5653225806451613,8243
