seed,fold,variant,macro_f1,accuracy,feature_count,exact_vocabulary_size
42,1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178,183895
42,1,exact_event_EB,0.5602599334395925,0.5769540692989524,8204,183895
42,2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221,180349
42,2,exact_event_EB,0.5671978202861541,0.589516129032258,8247,180349
42,3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187,180745
42,3,exact_event_EB,0.5606027974784871,0.5782258064516129,8213,180745
42,4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267,190931
42,4,exact_event_EB,0.5655321665493471,0.5830645161290322,8293,190931
42,5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243,184441
42,5,exact_event_EB,0.5959704468727651,0.5967741935483871,8269,184441
777,1,H0_selective_EB,0.553065295946923,0.5632554391619662,8249,189026
777,1,exact_event_EB,0.5687769560480086,0.5874294923448832,8275,189026
777,2,H0_selective_EB,0.5142909851951584,0.5370967741935484,8194,178726
777,2,exact_event_EB,0.5451174398875437,0.5790322580645161,8220,178726
777,3,H0_selective_EB,0.5577833884687313,0.5653225806451613,8250,192949
777,3,exact_event_EB,0.5635948151650767,0.5790322580645161,8276,192949
777,4,H0_selective_EB,0.5420945733421899,0.5516129032258065,8196,183292
777,4,exact_event_EB,0.5706795685833207,0.5846774193548387,8222,183292
777,5,H0_selective_EB,0.5415197366983542,0.5596774193548387,8183,176440
777,5,exact_event_EB,0.5696704147664863,0.5903225806451613,8209,176440
2024,1,H0_selective_EB,0.5265301744115838,0.5519742143432715,8221,183130
2024,1,exact_event_EB,0.567071250436793,0.5858178887993554,8247,183130
2024,2,H0_selective_EB,0.5409399242649507,0.55,8207,185910
2024,2,exact_event_EB,0.5481523321640138,0.5661290322580645,8233,185910
2024,3,H0_selective_EB,0.5695693211058087,0.5612903225806452,8194,178400
2024,3,exact_event_EB,0.5840731728980206,0.5838709677419355,8220,178400
2024,4,H0_selective_EB,0.55431988608319,0.567741935483871,8226,180431
2024,4,exact_event_EB,0.5746846362155481,0.5967741935483871,8252,180431
2024,5,H0_selective_EB,0.5537617434266222,0.5733870967741935,8247,192577
2024,5,exact_event_EB,0.5701326410637796,0.5943548387096774,8273,192577
