seed,fold,variant,macro_f1,accuracy,feature_count,exact_vocabulary_size
42,1,H0_selective_EB,0.528516470887176,0.5439161966156325,8178,183895
42,1,exact_event_EB,0.5602599334395925,0.5769540692989524,8204,183895
42,2,H0_selective_EB,0.5518911944485894,0.5661290322580645,8221,180349
42,2,exact_event_EB,0.5671978202861541,0.589516129032258,8247,180349
42,3,H0_selective_EB,0.5434490629256266,0.5475806451612903,8187,180745
42,3,exact_event_EB,0.5606027974784871,0.5782258064516129,8213,180745
42,4,H0_selective_EB,0.5547587960574124,0.5693548387096774,8267,190931
42,4,exact_event_EB,0.5655321665493471,0.5830645161290322,8293,190931
42,5,H0_selective_EB,0.5584993408995549,0.567741935483871,8243,184441
42,5,exact_event_EB,0.5959704468727651,0.5967741935483871,8269,184441
