row_index,truth,h0__ACC,h0__BLCA,h0__BRCA,h0__CESC,h0__COAD,h0__DLBC,h0__GBMLGG,h0__HNSC,h0__KIPAN,h0__KIRC,h0__LAML,h0__LGG,h0__LIHC,h0__LUAD,h0__LUSC,h0__OV,h0__PAAD,h0__PCPG,h0__PRAD,h0__SARC,h0__SKCM,h0__STES,h0__TGCT,h0__THCA,h0__THYM,h0__UCEC,exact__ACC,exact__BLCA,exact__BRCA,exact__CESC,exact__COAD,exact__DLBC,exact__GBMLGG,exact__HNSC,exact__KIPAN,exact__KIRC,exact__LAML,exact__LGG,exact__LIHC,exact__LUAD,exact__LUSC,exact__OV,exact__PAAD,exact__PCPG,exact__PRAD,exact__SARC,exact__SKCM,exact__STES,exact__TGCT,exact__THCA,exact__THYM,exact__UCEC
0,KIPAN,0.00488503,0.004141301,0.06425879,0.030831207,0.042434245,0.008722706,0.014324556,0.009350031,0.13562392,0.05849757,6.250215e-06,0.0023047698,0.18939084,0.021242253,0.12261036,0.05124093,0.049333904,2.109352e-05,0.012713568,0.019062314,0.01012934,0.0547267,0.08096802,0.00022202414,0.0005785131,0.012379772,0.00012730744,0.0026919285,0.068009295,0.03239689,0.016645275,0.007958583,0.009927217,0.011980469,0.09511216,0.024024501,6.348357e-06,0.00054132304,0.27397558,0.025436237,0.1395139,0.07598115,0.03184028,1.9051293e-05,0.026725173,0.034336463,0.007954399,0.042583846,0.06504403,0.0002332229,0.00095771614,0.00597774
1,SARC,0.015263288,0.0050743935,0.03875849,0.0050082738,0.004352479,0.008107297,0.47078067,0.056714125,0.020986892,0.010228051,0.000104146835,0.13831028,0.011858257,0.009516545,0.00095455826,0.00571711,0.0724037,0.0005906052,0.00092965446,0.038128033,0.0024638325,0.050780155,0.0061449576,0.0002551457,0.00052566547,0.02604331,0.002719992,0.005046312,0.035220902,0.0053060236,0.0029669139,0.0036273294,0.45603144,0.12379666,0.01709036,0.007941745,7.383562e-05,0.06442216,0.016583826,0.013021588,0.0023096695,0.013561197,0.06576697,0.00025634942,0.0049479594,0.059538912,0.0013069944,0.07393963,0.003553349,0.00019097204,0.00076976087,0.020009173
2,SKCM,4.8292484e-05,0.0009898172,9.279991e-06,0.00010098697,0.0006005889,4.702871e-06,4.1894113e-05,0.00059808244,1.2937189e-06,1.1672518e-07,4.4623372e-10,6.9787684e-06,4.254907e-05,0.0013171367,0.0020164954,6.433053e-08,3.703891e-06,2.0382215e-10,3.2126803e-08,2.2474942e-05,0.9930128,0.0010653111,7.0734423e-09,1.5239982e-08,2.1193177e-08,0.00011738692,1.6715418e-05,0.00013146906,1.7506385e-06,1.9545707e-05,0.00014467169,1.9484366e-06,3.5639914e-05,0.00019528336,5.394967e-07,4.276406e-08,4.4623372e-10,1.9145436e-06,3.720633e-06,0.00028782184,0.00091319234,1.4700129e-08,1.3235177e-06,2.0382215e-10,2.7787369e-08,4.574266e-06,0.9980775,0.0001279008,8.371656e-09,1.5239982e-08,7.8988345e-09,3.4314384e-05
3,KIRC,0.0010534438,0.0037195538,0.0972311,0.026928216,0.014632339,0.0014190625,0.16390532,0.009003608,0.049382973,0.04115512,0.03469741,0.07946154,0.022072414,0.018682158,0.006148262,0.05742857,0.024405258,0.019631596,0.16621065,0.07775848,0.008143095,0.007298568,0.0050654793,0.030215813,0.014219462,0.020130575,0.0019222132,0.0022619627,0.08619549,0.023006205,0.011388379,0.0028457267,0.17675683,0.008698731,0.047847167,0.044213817,0.03377465,0.09546152,0.020559879,0.016618121,0.006412968,0.05134986,0.025324129,0.02669854,0.14110678,0.08618508,0.011750913,0.006135597,0.009385262,0.03335327,0.018221794,0.012525155
4,GBMLGG,0.0002316459,0.0051021716,0.016645128,0.0014274834,0.09071175,0.010192295,0.054874692,0.019139446,0.008974495,0.0033501422,4.2205116e-07,0.0038608245,0.04649663,0.032106467,0.15686406,0.105192006,0.07160822,1.5265653e-06,0.002634376,0.035748783,0.008800964,0.26521942,0.0034932727,2.666696e-06,0.00034672336,0.05697433,0.0016784647,0.004331013,0.019160086,0.001703015,0.18380742,0.005197588,0.045437418,0.015748344,0.007332563,0.0021406629,4.2186397e-07,0.0010196504,0.01619219,0.027290711,0.11396381,0.07813716,0.10618946,1.5138337e-06,0.00057290576,0.02075301,0.012646773,0.26845458,0.0019255971,2.8276206e-06,0.00019427296,0.0661185
5,STES,1.5757258e-05,0.00071442005,0.001352974,1.1950251e-05,0.006280735,7.301196e-05,4.463519e-06,0.0043299077,0.00068846345,8.5294283e-07,4.846411e-07,4.5494565e-07,0.00027343314,0.0019529308,0.00014779957,2.741649e-07,2.9743624e-06,1.661757e-07,7.970041e-06,5.341818e-05,0.000582029,0.8764596,2.019429e-06,3.1712933e-08,0.0001407963,0.10690308,5.962273e-05,0.00043210958,0.001514369,3.5287953e-06,0.0062149013,1.7105185e-05,4.4625544e-06,0.0015185134,0.0011931263,1.17112e-06,4.846411e-07,4.5460206e-07,4.415996e-05,0.0003451589,0.00021290076,2.7414615e-07,2.9743637e-06,1.661757e-07,7.970041e-06,5.3287768e-05,0.00016479152,0.93311054,2.019429e-06,3.1712933e-08,0.00014001946,0.05495587
6,BRCA,6.324689e-05,0.00022450466,0.77254,0.009674531,0.002287042,0.0005503881,0.009683368,0.0056871143,0.0055432506,0.008645625,0.03920404,0.0077393837,0.002940606,0.0017743501,0.00035344847,0.006467177,0.00025122776,0.033487454,0.026440786,0.0098170275,0.0016337814,0.0013606359,0.0003361886,0.0120210815,0.0030152278,0.03825852,8.114362e-05,3.8615985e-05,0.8693166,0.006104001,0.002822089,0.00013521557,0.005506116,0.001027227,0.0014893429,0.0018595406,0.04135298,0.0056294254,0.0008702968,0.000639914,0.00010689486,0.0017729043,7.5430784e-05,0.009749977,0.003664994,0.0016961587,0.00077711814,0.0008936783,0.0003647048,0.0040848735,0.0006431532,0.03929755
7,THCA,0.0006324338,0.00026485132,0.012394979,0.0071405643,0.00043537904,0.0042641754,0.0054578627,0.00085455814,0.0033504644,0.003888321,0.23204134,0.0036156499,0.00059326965,0.0004731975,1.2363234e-05,0.0031297943,0.00507009,0.359733,0.08558932,0.046214346,0.0010793447,0.00016566525,0.0031621698,0.068653256,0.15061632,0.0011673605,0.0006324338,0.00026485132,0.012394979,0.0071405643,0.00043537904,0.0042641754,0.0054578627,0.00085455814,0.0033504644,0.003888321,0.23204134,0.0036156499,0.00059326965,0.0004731975,1.2363234e-05,0.0031297943,0.00507009,0.359733,0.08558932,0.046214346,0.0010793447,0.00016566525,0.0031621698,0.068653256,0.15061632,0.0011673605
8,LIHC,0.0045863236,0.0043546474,0.09871648,0.028215965,0.007278416,0.016202014,0.022956967,0.014550303,0.054344468,0.07037664,0.0044454755,0.008113534,0.03700691,0.013242699,0.0025011536,0.0634115,0.06038808,0.023004014,0.2144992,0.12679455,0.009355843,0.016160524,0.032664236,0.025037311,0.020444797,0.021347955,0.0045863236,0.0043546474,0.09871648,0.028215965,0.007278416,0.016202014,0.022956967,0.014550303,0.054344468,0.07037664,0.0044454755,0.008113534,0.03700691,0.013242699,0.0025011536,0.0634115,0.06038808,0.023004014,0.2144992,0.12679455,0.009355843,0.016160524,0.032664236,0.025037311,0.020444797,0.021347955
9,STES,0.001537246,0.0068831146,0.008720012,0.030802801,0.18749073,0.0032236476,0.07664089,0.054900367,0.006238143,0.010857039,7.621463e-06,0.004426975,0.04310332,0.025295023,0.024754489,0.021321563,0.12176037,2.5640806e-05,0.0043390617,0.0514958,0.029558677,0.2548295,0.004246649,0.00047427256,0.001990412,0.025076712,0.001537246,0.0068831146,0.008720012,0.030802801,0.18749073,0.0032236476,0.07664089,0.054900367,0.006238143,0.010857039,7.621463e-06,0.004426975,0.04310332,0.025295023,0.024754489,0.021321563,0.12176037,2.5640806e-05,0.0043390617,0.0514958,0.029558677,0.2548295,0.004246649,0.00047427256,0.001990412,0.025076712
