row_index,truth,exact__ACC,exact__BLCA,exact__BRCA,exact__CESC,exact__COAD,exact__DLBC,exact__GBMLGG,exact__HNSC,exact__KIPAN,exact__KIRC,exact__LAML,exact__LGG,exact__LIHC,exact__LUAD,exact__LUSC,exact__OV,exact__PAAD,exact__PCPG,exact__PRAD,exact__SARC,exact__SKCM,exact__STES,exact__TGCT,exact__THCA,exact__THYM,exact__UCEC,confidence__ACC,confidence__BLCA,confidence__BRCA,confidence__CESC,confidence__COAD,confidence__DLBC,confidence__GBMLGG,confidence__HNSC,confidence__KIPAN,confidence__KIRC,confidence__LAML,confidence__LGG,confidence__LIHC,confidence__LUAD,confidence__LUSC,confidence__OV,confidence__PAAD,confidence__PCPG,confidence__PRAD,confidence__SARC,confidence__SKCM,confidence__STES,confidence__TGCT,confidence__THCA,confidence__THYM,confidence__UCEC
0,KIPAN,0.00018080436,0.0045220326,0.050601386,0.015439923,0.01128853,0.013589092,0.041622236,0.018191032,0.13307881,0.052612904,2.3754483e-06,0.0009015568,0.23949444,0.049679603,0.1329837,0.057864588,0.02868474,4.5552993e-06,0.04099891,0.029828336,0.0048967474,0.034744725,0.034293566,0.00015044153,0.0013894453,0.0029554907,3.7227608e-05,0.0026918866,0.050857995,0.016929572,0.011963322,0.011275426,0.049743533,0.019103447,0.1356984,0.056673896,2.6231605e-06,0.00093887723,0.21799195,0.048246913,0.13324448,0.04733708,0.027485201,3.252517e-06,0.04800582,0.028704954,0.006800497,0.046351388,0.035492826,0.00011196911,0.0013676811,0.0029397495
1,SARC,0.0018159746,0.003851155,0.037393834,0.0018973141,0.010175691,0.0034974713,0.30918324,0.05511524,0.016249634,0.009166446,8.3068524e-05,0.033550095,0.015632508,0.017997146,0.0036863366,0.030773329,0.032647025,0.00071620895,0.0025170057,0.22938699,0.0022403398,0.10322036,0.0060744965,0.0007068448,0.007865499,0.06455667,0.005743046,0.005055068,0.020941986,0.0021428803,0.015688507,0.004453782,0.43655002,0.03323739,0.0051780012,0.004713912,0.000112388094,0.06415128,0.014600545,0.0137743475,0.0016418551,0.0102910325,0.088280864,0.0008789485,0.0011097695,0.1827108,0.0029827605,0.044632453,0.0033052857,0.00038408508,0.0034984397,0.03394056
2,SKCM,9.767654e-06,0.00015275486,7.53849e-07,1.1607926e-05,4.6949088e-05,1.4805162e-06,5.5461305e-06,0.00031255907,4.3500847e-07,4.1816133e-09,2.28201e-11,9.99992e-10,3.7010573e-06,0.00020758338,0.00029222821,1.1927487e-08,1.8353795e-08,2.416355e-12,2.657018e-10,3.4300768e-07,0.9988385,0.00010452973,3.5118697e-09,8.6039086e-11,2.4489317e-11,1.127688e-05,1.0234885e-05,6.7386456e-05,1.3141436e-06,7.466166e-06,3.4541637e-05,4.944636e-07,4.4224003e-06,0.0003284348,2.0004538e-06,1.7644607e-09,2.28201e-11,3.1868592e-09,2.1606e-06,0.0002335983,0.0003107713,2.9364327e-09,2.6608156e-08,2.416355e-12,2.0168539e-10,6.7053224e-07,0.99888295,0.0001085758,3.8427768e-09,8.603908e-11,2.4489317e-11,5.0035164e-06
3,KIRC,0.0020281777,0.00015677567,0.016242111,0.00043466498,0.001418738,0.0004674479,0.017755827,0.00020173301,0.094520204,0.8240488,0.0031595288,0.015869603,0.00018149188,0.00061602914,0.0002053344,0.0013819963,0.0016079656,0.0023483294,0.0068278313,0.0011488855,0.0056478214,0.0004970149,0.00085823267,0.00068297423,0.00029268037,0.0013996769,0.000993204,3.836927e-05,0.01592226,0.00013321824,0.00023603036,9.237254e-05,0.010159949,6.8574926e-05,0.07631788,0.8663264,0.001588489,0.011295671,3.8225993e-05,8.293452e-05,2.1223726e-05,0.0005952482,0.00019432748,0.00038277908,0.0062969476,0.0013222254,0.006666944,0.000113724964,0.0002277936,0.00023838754,0.00022255104,0.00042426147
4,GBMLGG,0.00050302944,0.005250421,0.03867942,0.0007097946,0.047843654,0.0024975417,0.109215155,0.018692812,0.00512396,0.0011338729,2.5036907e-06,0.015561475,0.010652363,0.0151014235,0.12748583,0.09300086,0.26317886,2.946009e-07,0.00038179735,0.010745378,0.010199139,0.16059697,0.0070597585,2.3367902e-06,0.00041298682,0.055968415,0.0014835832,0.008263241,0.047100727,0.0013375377,0.039994333,0.008479192,0.06622595,0.030171758,0.0066043753,0.0020439674,2.4952894e-06,0.006438375,0.04825219,0.01680536,0.107015155,0.13397199,0.15483171,2.969842e-07,0.0008486368,0.031154389,0.009329266,0.19419768,0.0097893,2.2817565e-06,0.0017049084,0.07395124
5,STES,5.9508042e-05,0.00062837364,0.00074012415,5.3574073e-05,0.0014371922,5.3001586e-05,0.0006413425,0.00022463189,0.00076617114,3.590889e-06,5.729067e-08,1.0542631e-06,3.818033e-05,5.0988354e-05,6.345965e-05,8.940038e-08,1.159788e-06,4.1533113e-07,3.0012593e-06,8.983746e-06,0.00015885606,0.84653693,8.674244e-07,1.2447555e-07,0.0005949547,0.14793338,1.4621067e-05,0.0002502547,0.001605992,3.8908624e-05,0.00055853627,4.7639074e-05,0.000641342,0.000112300804,0.0008094149,3.5940723e-06,5.729067e-08,1.0542631e-06,1.3141789e-05,1.7077287e-05,4.7098445e-05,8.940036e-08,1.159788e-06,4.1533113e-07,3.0012593e-06,8.983139e-06,8.412458e-05,0.84840775,8.674243e-07,1.2447555e-07,0.0005980762,0.14673446
6,BRCA,0.00015583112,8.8936795e-05,0.8850504,0.0044028694,0.0029211973,0.00018705535,0.0020289922,0.00033619604,0.0011163697,0.0020117993,0.04864766,0.0035017594,0.00061272405,0.00054555613,5.9089532e-05,0.0014046448,0.0002159756,0.0044827783,0.0035605908,0.0024115073,0.00052690576,0.0013885536,0.00021774147,0.0033755791,0.0013816403,0.029367713,0.00036754628,6.560348e-05,0.86473215,0.0017591149,0.0039912234,5.877423e-05,0.0013548458,0.00014858367,0.00095168,0.0006996897,0.07431729,0.003695548,0.0005986505,0.0009751787,4.3449127e-05,0.0005579673,0.00021407317,0.0018180634,0.001429204,0.0011495854,0.0004905745,0.00079388573,8.987086e-05,0.0017957612,0.0012073878,0.03669442
7,THCA,0.00010843888,0.0001238212,0.09282785,0.0061350195,0.00013500509,0.0005975043,0.005965304,0.00079875573,0.00521587,0.0017810584,0.095060736,0.0054131267,0.000928852,0.0006382494,6.667022e-05,0.0035740298,0.0042042984,0.26287407,0.102688976,0.05466539,0.00084206025,0.000117065225,0.0024288658,0.12096805,0.23104559,0.000795371,5.1043397e-05,0.00014323033,0.092034645,0.0058894237,0.00010807454,0.0005801648,0.005723716,0.0007615947,0.0051065595,0.001774318,0.08058487,0.006207901,0.0008966041,0.0006085853,6.888842e-05,0.0032061422,0.004079533,0.28526577,0.0981349,0.04912624,0.0012838051,0.00014453432,0.0025902996,0.12851797,0.226188,0.000923111
8,LIHC,0.0002637053,0.002965169,0.07494553,0.028047457,0.0053229365,0.007897047,0.0166439,0.010133622,0.052055832,0.088830434,0.0033572232,0.0032828515,0.060781594,0.013570183,0.0070891967,0.111253984,0.020570947,0.024862574,0.16252048,0.18215486,0.0045311977,0.01723945,0.03769096,0.025083426,0.026165865,0.012739553,0.00019793543,0.0025076764,0.07882518,0.027709546,0.0059795366,0.0047769174,0.018578958,0.011516261,0.05330191,0.09347855,0.004010593,0.005115691,0.05139597,0.011633216,0.0070577594,0.09403254,0.027421381,0.024413409,0.17052814,0.17161974,0.0062351925,0.018591283,0.046508126,0.024851216,0.029968152,0.009745081
9,STES,0.0009442018,0.00051808247,0.0143204965,0.029079381,0.22757047,0.002930096,0.04784509,0.02020644,0.0025955038,0.0027912129,9.089117e-06,0.0038069903,0.01563296,0.02638221,0.023048775,0.005701925,0.06900536,1.0005536e-05,0.0015215043,0.012397957,0.022996588,0.4192582,0.0015008461,0.00026559798,0.00047731772,0.049183644,0.00014786827,0.00039261495,0.0132090645,0.021095958,0.19810982,0.0018442465,0.052996594,0.012006844,0.0032638179,0.0042219674,6.2732875e-06,0.0015103346,0.01893123,0.019446772,0.030489596,0.0015962395,0.05310441,4.1690205e-06,0.0021857251,0.012080935,0.016575906,0.50862765,0.0027142707,0.00013563006,0.00025932238,0.025042707
