,환자수,F1_평면,F1_계층,변화,정밀도_평면,정밀도_계층,재현율_평면,재현율_계층,그룹
ACC,72,0.8406,0.8406,0.0,0.879,0.879,0.806,0.806,
BLCA,104,0.3373,0.3353,-0.002,0.452,0.444,0.269,0.269,
BRCA,786,0.5041,0.5008,-0.0033,0.719,0.702,0.388,0.389,
CESC,155,0.213,0.2071,-0.0059,0.197,0.191,0.232,0.226,
COAD,223,0.6652,0.6638,-0.0014,0.642,0.639,0.691,0.691,
DLBC,38,0.5185,0.4906,-0.028,0.875,0.867,0.368,0.342,
GBMLGG,461,0.2958,0.2734,-0.0224,0.511,0.512,0.208,0.187,BRAIN
HNSC,223,0.3364,0.3258,-0.0106,0.341,0.329,0.332,0.323,
KIPAN,515,0.1931,0.1864,-0.0067,0.21,0.202,0.179,0.173,KIDNEY
KIRC,334,0.1824,0.1562,-0.0262,0.192,0.18,0.174,0.138,KIDNEY
LAML,158,0.5151,0.5249,0.0099,0.546,0.552,0.487,0.5,
LGG,229,0.5231,0.5071,-0.016,0.43,0.427,0.668,0.624,BRAIN
LIHC,158,0.2994,0.3027,0.0033,0.284,0.285,0.316,0.323,
LUAD,184,0.3202,0.3155,-0.0048,0.361,0.349,0.288,0.288,
LUSC,178,0.4595,0.4519,-0.0076,0.429,0.42,0.494,0.489,
OV,253,0.3924,0.389,-0.0033,0.299,0.298,0.569,0.561,
PAAD,120,0.2522,0.2456,-0.0066,0.264,0.259,0.242,0.233,
PCPG,147,0.3136,0.3085,-0.0051,0.252,0.248,0.415,0.408,
PRAD,266,0.3309,0.3238,-0.0071,0.271,0.262,0.425,0.425,
SARC,198,0.2274,0.205,-0.0224,0.269,0.227,0.197,0.187,
SKCM,276,0.8048,0.8048,0.0,0.894,0.894,0.732,0.732,
STES,379,0.4102,0.4062,-0.004,0.442,0.436,0.383,0.38,
TGCT,124,0.3904,0.3805,-0.0099,0.278,0.267,0.653,0.661,
THCA,324,0.6916,0.694,0.0024,0.877,0.877,0.571,0.574,
THYM,98,0.2538,0.2457,-0.0081,0.161,0.156,0.602,0.582,
UCEC,198,0.5143,0.5115,-0.0028,0.486,0.47,0.545,0.561,
