C,Macro F1,σ,Accuracy,미수렴,C=0.1 대비,양수 seed
0.01,0.36731,0.00363,0.3644,0/15,-0.04471,0/3
0.02,0.39182,0.00301,0.38263,0/15,-0.02019,0/3
0.03,0.40354,0.0019,0.39413,0/15,-0.00848,0/3
0.05,0.41088,0.00146,0.40182,0/15,-0.00114,1/3
0.07,0.41274,0.00057,0.40316,0/15,0.00072,2/3
0.1,0.41202,0.00345,0.40235,0/15,,
0.15,0.40912,0.00401,0.39988,0/15,-0.00289,0/3
0.2,0.40583,0.00387,0.39612,0/15,-0.00618,0/3
0.3,0.4022,0.00305,0.39166,0/15,-0.00982,0/3
0.5,0.39207,0.0048,0.38408,0/15,-0.01994,0/3
1.0,0.37713,0.00512,0.37134,0/15,-0.03488,0/3
