,f1
CESC,0.0963855421686747
KIRC,0.13333333333333333
KIPAN,0.17714285714285713
SARC,0.18306636155606407
PAAD,0.2
LUAD,0.23668639053254437
BLCA,0.24324324324324326
LIHC,0.2582781456953642
LGG,0.26534653465346536
LUSC,0.273015873015873
HNSC,0.28368794326241137
GBMLGG,0.28878281622911695
PCPG,0.29213483146067415
THYM,0.29295774647887324
PRAD,0.34321372854914195
OV,0.34514637904468415
STES,0.349862258953168
DLBC,0.3673469387755102
TGCT,0.41568627450980394
UCEC,0.4900990099009901
BRCA,0.49108367626886146
LAML,0.5473684210526316
COAD,0.6410256410256411
THCA,0.6800670016750419
SKCM,0.7070707070707071
ACC,0.8372093023255814
