true,pred,n,ratio
KIPAN,KIRC,271,0.5262135922330097
KIRC,KIPAN,231,0.6916167664670658
GBMLGG,LGG,193,0.41865509761388287
LGG,GBMLGG,143,0.6244541484716157
BRCA,OV,91,0.11577608142493638
BRCA,PRAD,55,0.06997455470737914
THCA,THYM,46,0.1419753086419753
LAML,THYM,37,0.23417721518987342
OV,BRCA,37,0.14624505928853754
BRCA,SARC,36,0.04580152671755725
STES,HNSC,36,0.09498680738786279
LUSC,STES,33,0.1853932584269663
PAAD,OV,32,0.26666666666666666
PCPG,PRAD,32,0.21768707482993196
SARC,OV,30,0.15151515151515152
THCA,PRAD,29,0.08950617283950617
LUSC,HNSC,28,0.15730337078651685
PRAD,PCPG,28,0.10526315789473684
STES,BRCA,28,0.07387862796833773
BRCA,KIPAN,27,0.03435114503816794
BRCA,THYM,27,0.03435114503816794
SARC,PRAD,26,0.13131313131313133
STES,COAD,26,0.06860158311345646
HNSC,BRCA,25,0.11210762331838565
HNSC,STES,25,0.11210762331838565
TGCT,KIPAN,25,0.20161290322580644
BRCA,PCPG,24,0.030534351145038167
BRCA,STES,24,0.030534351145038167
LUAD,STES,24,0.13043478260869565
PCPG,THYM,23,0.1564625850340136
UCEC,BRCA,23,0.11616161616161616
GBMLGG,BRCA,22,0.04772234273318872
KIPAN,BRCA,22,0.04271844660194175
SARC,BRCA,22,0.1111111111111111
SKCM,LUAD,22,0.07971014492753623
STES,LUSC,21,0.055408970976253295
CESC,KIPAN,20,0.12903225806451613
PRAD,THYM,20,0.07518796992481203
LUAD,LUSC,19,0.10326086956521739
PRAD,SARC,19,0.07142857142857142
THCA,PCPG,18,0.05555555555555555
BLCA,STES,17,0.16346153846153846
BRCA,UCEC,17,0.021628498727735368
CESC,BRCA,17,0.10967741935483871
PRAD,BRCA,17,0.06390977443609022
STES,LIHC,17,0.044854881266490766
STES,LUAD,17,0.044854881266490766
BRCA,GBMLGG,16,0.020356234096692113
GBMLGG,PRAD,16,0.03470715835140998
KIPAN,PRAD,16,0.031067961165048542
KIPAN,TGCT,16,0.031067961165048542
OV,SARC,16,0.06324110671936758
STES,OV,16,0.04221635883905013
BRCA,CESC,15,0.019083969465648856
BRCA,KIRC,15,0.019083969465648856
COAD,STES,15,0.06726457399103139
HNSC,OV,15,0.06726457399103139
LIHC,BRCA,15,0.0949367088607595
LIHC,KIPAN,15,0.0949367088607595
LIHC,UCEC,15,0.0949367088607595
LUAD,LIHC,15,0.08152173913043478
LUSC,LUAD,15,0.08426966292134831
PAAD,BRCA,15,0.125
PRAD,KIPAN,15,0.05639097744360902
THYM,PCPG,15,0.15306122448979592
CESC,SARC,14,0.09032258064516129
GBMLGG,KIPAN,14,0.03036876355748373
HNSC,KIPAN,14,0.06278026905829596
BRCA,HNSC,13,0.01653944020356234
CESC,PRAD,13,0.08387096774193549
CESC,STES,13,0.08387096774193549
COAD,OV,13,0.05829596412556054
GBMLGG,SARC,13,0.028199566160520606
HNSC,LUSC,13,0.05829596412556054
KIPAN,CESC,13,0.02524271844660194
PRAD,OV,13,0.04887218045112782
SARC,KIPAN,13,0.06565656565656566
STES,UCEC,13,0.03430079155672823
BLCA,HNSC,12,0.11538461538461539
