,GB,GBVR (최고),변화
LUSC,0.2884,0.4037,0.1153
CESC,0.1221,0.1805,0.0584
PAAD,0.1942,0.2466,0.0524
STES,0.3476,0.3848,0.0372
SARC,0.1721,0.2057,0.0336
LUAD,0.2353,0.2655,0.0302
BRCA,0.4842,0.5104,0.0262
OV,0.3477,0.3633,0.0157
SKCM,0.7181,0.7302,0.0122
TGCT,0.4226,0.4342,0.0115
GBMLGG,0.2949,0.3051,0.0102
COAD,0.6479,0.6552,0.0073
LGG,0.2653,0.2717,0.0063
KIPAN,0.1703,0.1736,0.0032
UCEC,0.4784,0.481,0.0026
THCA,0.679,0.6801,0.0011
PCPG,0.3116,0.3102,-0.0014
PRAD,0.3571,0.3544,-0.0028
LAML,0.5423,0.5382,-0.004
HNSC,0.2988,0.2913,-0.0075
LIHC,0.2867,0.277,-0.0096
THYM,0.2881,0.2763,-0.0118
KIRC,0.1326,0.1152,-0.0174
ACC,0.8421,0.8182,-0.0239
DLBC,0.4643,0.4231,-0.0412
BLCA,0.3399,0.2857,-0.0542
