그룹,fold,검증 환자수,정확도,다수클래스 비율,Macro F1
KIDNEY,1,170,0.3235294117647059,0.6058823529411764,0.30325385794219323
BRAIN,1,138,0.5942028985507246,0.6666666666666666,0.5815464587394412
KIDNEY,2,170,0.3411764705882353,0.6058823529411764,0.3228055199886186
BRAIN,2,138,0.5942028985507246,0.6666666666666666,0.5871794871794872
KIDNEY,3,170,0.3941176470588235,0.6058823529411764,0.38072502210433246
BRAIN,3,138,0.6086956521739131,0.6666666666666666,0.5984913793103448
KIDNEY,4,169,0.35502958579881655,0.6094674556213018,0.33104550241493264
BRAIN,4,138,0.6014492753623188,0.6739130434782609,0.5920012901144976
KIDNEY,5,170,0.3764705882352941,0.6058823529411764,0.36153628117913833
BRAIN,5,138,0.644927536231884,0.6666666666666666,0.6285227709718179
KIDNEY,1,170,0.3176470588235294,0.6058823529411764,0.3099104143337066
BRAIN,1,138,0.6376811594202898,0.6666666666666666,0.6299077451190731
KIDNEY,2,170,0.45294117647058824,0.6058823529411764,0.42573825869020376
BRAIN,2,138,0.6159420289855072,0.6666666666666666,0.6085211154525505
KIDNEY,3,170,0.34705882352941175,0.6058823529411764,0.33016222356323877
BRAIN,3,138,0.5362318840579711,0.6666666666666666,0.5132275132275133
KIDNEY,4,169,0.33136094674556216,0.6094674556213018,0.32985928343334386
BRAIN,4,138,0.5797101449275363,0.6739130434782609,0.56875
KIDNEY,5,170,0.3235294117647059,0.6058823529411764,0.300261283510505
BRAIN,5,138,0.6231884057971014,0.6666666666666666,0.6070098576122672
KIDNEY,1,170,0.36470588235294116,0.6058823529411764,0.3382352941176471
BRAIN,1,138,0.5797101449275363,0.6666666666666666,0.5774915540540541
KIDNEY,2,170,0.37058823529411766,0.6058823529411764,0.3459422530653339
BRAIN,2,138,0.572463768115942,0.6666666666666666,0.5497428524028093
KIDNEY,3,170,0.37058823529411766,0.6058823529411764,0.3517231547809972
BRAIN,3,138,0.5942028985507246,0.6666666666666666,0.5740740740740741
KIDNEY,4,169,0.35502958579881655,0.6094674556213018,0.33404432233107983
BRAIN,4,138,0.6014492753623188,0.6739130434782609,0.5830357633357139
KIDNEY,5,170,0.29411764705882354,0.6058823529411764,0.28611422172452405
BRAIN,5,138,0.6159420289855072,0.6666666666666666,0.6085211154525505
