a,b,cosine
KIPAN,KIRC,0.9096973538398743
GBMLGG,LGG,0.893072783946991
LUSC,STES,0.8735751509666443
LUAD,LUSC,0.8562712669372559
COAD,STES,0.8454625606536865
HNSC,LUSC,0.8446046710014343
STES,UCEC,0.8425701856613159
LUAD,STES,0.8420981168746948
HNSC,STES,0.8351339101791382
BLCA,STES,0.8209121823310852
SKCM,STES,0.8072378635406494
LUAD,SKCM,0.8027520775794983
CESC,STES,0.7998831272125244
CESC,UCEC,0.7851983904838562
COAD,UCEC,0.7847434282302856
LIHC,STES,0.7842281460762024
HNSC,PAAD,0.7787430882453918
COAD,LUSC,0.773320734500885
LUSC,SKCM,0.7730843424797058
OV,PAAD,0.7730411887168884
SKCM,UCEC,0.7690853476524353
BLCA,LUSC,0.7682766318321228
BRCA,HNSC,0.7667839527130127
HNSC,LUAD,0.7612259387969971
BLCA,HNSC,0.7583627104759216
LIHC,LUSC,0.7553091645240784
PAAD,STES,0.754759669303894
LUSC,UCEC,0.7545863389968872
BLCA,UCEC,0.7530530095100403
COAD,LUAD,0.7486753463745117
LUSC,PAAD,0.7399882078170776
LUAD,UCEC,0.7394376993179321
COAD,HNSC,0.7392361164093018
LIHC,LUAD,0.7369464039802551
BRCA,STES,0.736656665802002
HNSC,SARC,0.7365431785583496
BLCA,COAD,0.7312279343605042
COAD,SKCM,0.728918731212616
BLCA,CESC,0.7268912196159363
CESC,LUSC,0.7251667380332947
LIHC,UCEC,0.7246809601783752
HNSC,OV,0.7229399681091309
BRCA,LUSC,0.7186028957366943
BLCA,LUAD,0.7183131575584412
LUSC,SARC,0.7152174711227417
CESC,SKCM,0.7147741317749023
SARC,STES,0.7107963562011719
CESC,LUAD,0.7079704403877258
HNSC,LIHC,0.7069433331489563
OV,SARC,0.7028283476829529
CESC,COAD,0.6977570056915283
PAAD,SARC,0.6960105299949646
COAD,LIHC,0.6941108107566833
BRCA,UCEC,0.691121518611908
BLCA,BRCA,0.689858615398407
BLCA,LIHC,0.6896190047264099
HNSC,UCEC,0.6859042048454285
BLCA,SKCM,0.6851471066474915
LIHC,SKCM,0.6783208847045898
COAD,PAAD,0.6773136854171753
LUAD,PAAD,0.6741505265235901
BLCA,PAAD,0.6722151637077332
BRCA,COAD,0.6707455515861511
CESC,HNSC,0.6703030467033386
CESC,LIHC,0.6689947843551636
LUAD,SARC,0.6656436324119568
BRCA,PAAD,0.6635963916778564
HNSC,SKCM,0.6626333594322205
BRCA,CESC,0.6536910533905029
BRCA,OV,0.6520431637763977
BRCA,LUAD,0.6453894972801208
BLCA,SARC,0.6445424556732178
BRCA,SARC,0.6391660571098328
LIHC,PAAD,0.6386378407478333
LIHC,SARC,0.636458158493042
LUSC,OV,0.63247150182724
KIPAN,STES,0.6306557059288025
BRCA,LIHC,0.6280900835990906
COAD,SARC,0.6269135475158691
DLBC,STES,0.6263551712036133
GBMLGG,SARC,0.623117208480835
PAAD,UCEC,0.6149069666862488
KIPAN,UCEC,0.6118375658988953
PRAD,STES,0.608716607093811
GBMLGG,OV,0.6079254150390625
LUSC,PRAD,0.5964683890342712
GBMLGG,HNSC,0.593166172504425
DLBC,SKCM,0.5925045013427734
DLBC,UCEC,0.5884674787521362
SARC,SKCM,0.5875430107116699
SARC,UCEC,0.585517168045044
OV,STES,0.585102379322052
CESC,KIPAN,0.5838406682014465
CESC,DLBC,0.5832605361938477
PAAD,SKCM,0.5782507658004761
PRAD,UCEC,0.5778388977050781
BLCA,DLBC,0.5774913430213928
LUAD,PRAD,0.5767836570739746
KIPAN,LUSC,0.5706450939178467
BLCA,KIPAN,0.5687977075576782
KIPAN,SKCM,0.5645370483398438
GBMLGG,PAAD,0.5581696033477783
COAD,KIPAN,0.5558399558067322
PRAD,SKCM,0.5554933547973633
LIHC,PRAD,0.5547089576721191
DLBC,LUSC,0.5543532967567444
HNSC,PRAD,0.5534650683403015
COAD,OV,0.5534642934799194
GBMLGG,LUSC,0.5524024367332458
BLCA,OV,0.5520178079605103
KIPAN,LUAD,0.5517333745956421
BRCA,GBMLGG,0.5501973032951355
BRCA,SKCM,0.5498537421226501
COAD,PRAD,0.5488733649253845
BLCA,PRAD,0.5484911203384399
COAD,DLBC,0.5473236441612244
DLBC,LUAD,0.5455072522163391
LUAD,OV,0.5422639846801758
CESC,PAAD,0.5419866442680359
CESC,SARC,0.5411121249198914
STES,TGCT,0.5348370671272278
HNSC,KIPAN,0.5337315797805786
LIHC,OV,0.5316774249076843
KIPAN,LIHC,0.525980532169342
DLBC,HNSC,0.5218559503555298
CESC,PRAD,0.5202140808105469
GBMLGG,STES,0.5197574496269226
GBMLGG,LUAD,0.5155081748962402
CESC,TGCT,0.5136843919754028
TGCT,UCEC,0.5107287168502808
DLBC,LIHC,0.5058456659317017
LGG,OV,0.498320996761322
ACC,STES,0.49684756994247437
BRCA,PRAD,0.49462395906448364
SKCM,TGCT,0.4873824417591095
GBMLGG,LIHC,0.48267361521720886
BLCA,TGCT,0.4801473915576935
BLCA,GBMLGG,0.480124831199646
PAAD,PRAD,0.47687652707099915
PRAD,SARC,0.47553399205207825
DLBC,KIPAN,0.47332656383514404
BRCA,KIPAN,0.469378799200058
KIPAN,PAAD,0.46352508664131165
LGG,SARC,0.4617193341255188
COAD,GBMLGG,0.46131274104118347
ACC,SKCM,0.4543760120868683
KIPAN,SARC,0.451578825712204
ACC,UCEC,0.45156896114349365
LUSC,TGCT,0.44947248697280884
ACC,LUSC,0.4452618658542633
GBMLGG,UCEC,0.44500815868377686
KIRC,STES,0.44490742683410645
ACC,CESC,0.4448498785495758
LUAD,TGCT,0.4430353045463562
ACC,BLCA,0.44289442896842957
ACC,LUAD,0.44247448444366455
KIRC,UCEC,0.4424212872982025
KIPAN,PRAD,0.44032129645347595
LIHC,TGCT,0.43916770815849304
DLBC,PRAD,0.4364699721336365
BRCA,DLBC,0.43578481674194336
COAD,TGCT,0.43180128931999207
DLBC,PAAD,0.4314139187335968
DLBC,TGCT,0.4310436248779297
KIPAN,TGCT,0.4254925847053528
ACC,LIHC,0.4236028790473938
HNSC,TGCT,0.42280927300453186
CESC,KIRC,0.41707152128219604
HNSC,LGG,0.4152429699897766
DLBC,SARC,0.4137723445892334
LGG,PAAD,0.41373366117477417
ACC,HNSC,0.4136207103729248
KIRC,SKCM,0.4125966429710388
ACC,COAD,0.4117989242076874
GBMLGG,SKCM,0.40837764739990234
KIRC,LUSC,0.4051031470298767
OV,UCEC,0.40005138516426086
COAD,KIRC,0.3998566269874573
BLCA,KIRC,0.39961275458335876
