seed,fold,macro_f1,accuracy,feature_count,convergence_warning_count,leakage_check,nan_as_mutation_count
42,1,0.5217857444882094,0.5447219983883964,4529,0,True,0
42,2,0.5450116141333554,0.5596774193548387,4529,0,True,0
42,3,0.5423579825438153,0.5556451612903226,4527,0,True,0
42,4,0.560050076077789,0.5758064516129032,4534,0,True,0
42,5,0.5488287045293986,0.5604838709677419,4526,0,True,0
777,1,0.5195462780711614,0.5439161966156325,4529,0,True,0
777,2,0.5466442389717684,0.5645161290322581,4527,0,True,0
777,3,0.5313873495634505,0.55,4526,0,True,0
777,4,0.5315341998805582,0.5411290322580645,4523,0,True,0
777,5,0.5422373131861744,0.567741935483871,4530,0,True,0
2024,1,0.5382887077723669,0.547945205479452,4525,0,True,0
2024,2,0.5297372485715057,0.5459677419354839,4532,0,True,0
2024,3,0.5405198768572794,0.5475806451612903,4529,0,True,0
2024,4,0.5422337253603079,0.5620967741935484,4527,0,True,0
2024,5,0.553591862468365,0.5798387096774194,4528,0,True,0
